epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1477.37,1.5024,1.37452,1.78782,0.84178,0.66053,0.78475,0.41024,1.7011,1.27334,1.99874,0.0011882,0.0011882,0.0011882
43,1512.21,1.48313,1.35777,1.77722,0.83056,0.69605,0.80069,0.41355,1.69219,1.24383,1.98736,0.0011684,0.0011684,0.0011684
44,1547.1,1.48879,1.33339,1.78863,0.84496,0.69558,0.8004,0.4112,1.67974,1.24895,1.99466,0.0011486,0.0011486,0.0011486
45,1582.03,1.4783,1.32897,1.77492,0.80144,0.70637,0.78895,0.41314,1.66196,1.23107,1.97283,0.0011288,0.0011288,0.0011288
46,1616.99,1.46328,1.3165,1.76206,0.84227,0.70963,0.81551,0.422,1.64681,1.19416,1.96676,0.001109,0.001109,0.001109
47,1651.97,1.46498,1.31278,1.76611,0.84708,0.71053,0.79968,0.42279,1.65745,1.23162,1.97914,0.0010892,0.0010892,0.0010892
48,1686.91,1.45526,1.27592,1.74842,0.82513,0.71842,0.81733,0.43258,1.62455,1.18609,1.95264,0.0010694,0.0010694,0.0010694
49,1721.87,1.43651,1.28913,1.74173,0.84422,0.72019,0.81567,0.44078,1.64509,1.18638,1.97651,0.0010496,0.0010496,0.0010496
50,1756.72,1.4257,1.24526,1.73419,0.84636,0.70789,0.80517,0.42397,1.64764,1.20187,1.97781,0.0010298,0.0010298,0.0010298
51,1791.58,1.42835,1.24545,1.72832,0.8139,0.71357,0.80545,0.43375,1.63457,1.18683,1.96711,0.00101,0.00101,0.00101
52,1826.49,1.41782,1.22762,1.72046,0.8529,0.71974,0.82088,0.43163,1.63867,1.14826,1.9646,0.0009902,0.0009902,0.0009902
53,1861.39,1.40098,1.19758,1.70987,0.86244,0.72632,0.83139,0.44814,1.60727,1.13503,1.93039,0.0009704,0.0009704,0.0009704
54,1896.26,1.39298,1.21316,1.70234,0.85536,0.72895,0.82812,0.44924,1.6296,1.13469,1.94154,0.0009506,0.0009506,0.0009506
55,1931.17,1.3892,1.19961,1.70203,0.85133,0.74737,0.83282,0.44704,1.61699,1.11238,1.94357,0.0009308,0.0009308,0.0009308
56,1966.08,1.39428,1.18374,1.686,0.85682,0.72632,0.82845,0.44211,1.64474,1.12715,1.94892,0.000911,0.000911,0.000911
57,2001.05,1.3815,1.17619,1.68203,0.86014,0.74447,0.84196,0.45201,1.63638,1.10628,1.93865,0.0008912,0.0008912,0.0008912
58,2036.02,1.3906,1.17399,1.68998,0.85585,0.72632,0.84179,0.45429,1.63728,1.09069,1.9367,0.0008714,0.0008714,0.0008714
59,2070.94,1.38607,1.17582,1.6863,0.82643,0.77059,0.83778,0.45562,1.63227,1.09048,1.93245,0.0008516,0.0008516,0.0008516
60,2105.91,1.35847,1.1349,1.66592,0.86929,0.7438,0.84903,0.46706,1.57282,1.06845,1.88853,0.0008318,0.0008318,0.0008318
61,2140.82,1.36467,1.15366,1.66665,0.88409,0.74605,0.85973,0.46404,1.58497,1.06062,1.89184,0.000812,0.000812,0.000812
62,2175.74,1.35481,1.13362,1.65342,0.84965,0.74868,0.84913,0.46406,1.60598,1.04257,1.9124,0.0007922,0.0007922,0.0007922
63,2210.55,1.35014,1.13437,1.64902,0.87931,0.77652,0.86878,0.47796,1.57339,1.02878,1.89087,0.0007724,0.0007724,0.0007724
64,2245.51,1.33953,1.1145,1.64052,0.86849,0.78206,0.86349,0.4675,1.60081,1.03951,1.90461,0.0007526,0.0007526,0.0007526
65,2280.5,1.34552,1.1323,1.65367,0.86307,0.78947,0.86672,0.47341,1.5861,1.03809,1.89608,0.0007328,0.0007328,0.0007328
66,2315.38,1.32455,1.1005,1.63143,0.86358,0.77895,0.86035,0.47384,1.58635,1.03486,1.89697,0.000713,0.000713,0.000713
67,2350.36,1.32109,1.09492,1.62478,0.82764,0.76711,0.85035,0.4678,1.5971,1.04516,1.90437,0.0006932,0.0006932,0.0006932
68,2385.29,1.31142,1.07559,1.62264,0.86664,0.77895,0.86683,0.48144,1.57199,1.02693,1.87465,0.0006734,0.0006734,0.0006734
69,2420.2,1.30864,1.06659,1.62277,0.86267,0.78523,0.86518,0.47626,1.58707,1.0114,1.90091,0.0006536,0.0006536,0.0006536
70,2455.03,1.3085,1.07131,1.6067,0.86105,0.75658,0.85698,0.47389,1.58793,1.03786,1.88415,0.0006338,0.0006338,0.0006338
71,2489.9,1.30272,1.06678,1.61178,0.87494,0.76407,0.86641,0.47635,1.61141,1.02071,1.91845,0.000614,0.000614,0.000614
72,2524.93,1.28273,1.04649,1.59317,0.83159,0.80132,0.86194,0.47598,1.59889,1.0308,1.90168,0.0005942,0.0005942,0.0005942
73,2559.82,1.29159,1.04109,1.59789,0.83448,0.78943,0.85467,0.4769,1.56868,1.02757,1.88246,0.0005744,0.0005744,0.0005744
74,2594.65,1.27655,1.04569,1.59012,0.8726,0.78289,0.86796,0.4825,1.59617,1.00371,1.90493,0.0005546,0.0005546,0.0005546
75,2629.56,1.27496,1.0388,1.59185,0.87959,0.78947,0.86559,0.48856,1.57008,0.98653,1.87782,0.0005348,0.0005348,0.0005348
76,2664.37,1.26487,1.02953,1.57043,0.89064,0.77237,0.86849,0.48232,1.57492,0.99468,1.87935,0.000515,0.000515,0.000515
77,2699.19,1.2568,1.01631,1.5677,0.88827,0.80395,0.8812,0.48868,1.56711,0.95436,1.87245,0.0004952,0.0004952,0.0004952
78,2734.13,1.26372,1.0232,1.57898,0.87552,0.80511,0.8865,0.49057,1.5653,0.96547,1.87809,0.0004754,0.0004754,0.0004754
79,2768.95,1.25561,0.99238,1.56462,0.89155,0.80041,0.88162,0.4948,1.55276,0.96744,1.8639,0.0004556,0.0004556,0.0004556
80,2803.73,1.25381,0.98705,1.5671,0.89985,0.78816,0.87718,0.49154,1.57102,0.95772,1.88142,0.0004358,0.0004358,0.0004358
81,2838.45,1.24159,0.98898,1.5608,0.88978,0.79211,0.88308,0.49075,1.58566,0.96203,1.89767,0.000416,0.000416,0.000416
82,2873.24,1.24075,0.98612,1.56311,0.88292,0.80263,0.88828,0.49279,1.58102,0.96302,1.89373,0.0003962,0.0003962,0.0003962
83,2908.01,1.2324,0.98254,1.54914,0.87541,0.81361,0.88986,0.49488,1.56572,0.9539,1.88121,0.0003764,0.0003764,0.0003764
84,2942.78,1.2209,0.95804,1.54263,0.90969,0.79474,0.89149,0.49562,1.57703,0.95488,1.89251,0.0003566,0.0003566,0.0003566
85,2977.68,1.23582,0.96734,1.54906,0.8845,0.81711,0.89178,0.49231,1.56587,0.94408,1.88199,0.0003368,0.0003368,0.0003368
86,3012.54,1.22193,0.97185,1.54181,0.88248,0.81184,0.88729,0.49878,1.55456,0.94557,1.86814,0.000317,0.000317,0.000317
87,3047.37,1.21194,0.95367,1.53138,0.88979,0.80739,0.888,0.49966,1.5508,0.93666,1.86151,0.0002972,0.0002972,0.0002972
88,3082.25,1.22078,0.96187,1.53841,0.88981,0.8,0.88853,0.49616,1.55423,0.95052,1.86133,0.0002774,0.0002774,0.0002774
89,3117.07,1.20065,0.94802,1.52385,0.88974,0.80395,0.88753,0.49883,1.54025,0.94776,1.84999,0.0002576,0.0002576,0.0002576
90,3151.89,1.20684,0.9584,1.529,0.87923,0.81426,0.88832,0.49777,1.54158,0.94536,1.85714,0.0002378,0.0002378,0.0002378
91,3189.34,1.09046,0.68442,1.45632,0.88005,0.80123,0.88477,0.49942,1.55169,0.95215,1.87008,0.000218,0.000218,0.000218
92,3224,1.0762,0.65878,1.44297,0.88118,0.81711,0.88494,0.50247,1.53897,0.94686,1.85521,0.0001982,0.0001982,0.0001982
93,3258.53,1.05626,0.64734,1.4279,0.89396,0.80975,0.88727,0.50535,1.5302,0.93522,1.84901,0.0001784,0.0001784,0.0001784
94,3293.24,1.05005,0.64015,1.42,0.89104,0.81579,0.88915,0.50354,1.52916,0.93066,1.84906,0.0001586,0.0001586,0.0001586
95,3327.91,1.03255,0.63266,1.40616,0.89803,0.81974,0.8894,0.50246,1.53083,0.92999,1.84913,0.0001388,0.0001388,0.0001388
96,3362.56,1.04341,0.63014,1.41918,0.89438,0.82451,0.88787,0.50427,1.53336,0.92739,1.85219,0.000119,0.000119,0.000119
97,3397.26,1.03449,0.63919,1.41022,0.90632,0.81711,0.89103,0.50423,1.53377,0.92327,1.84753,9.92e-05,9.92e-05,9.92e-05
98,3431.92,1.0261,0.61401,1.40341,0.89826,0.82368,0.89208,0.50462,1.53406,0.91528,1.85087,7.94e-05,7.94e-05,7.94e-05
99,3466.58,1.01978,0.61456,1.40429,0.90455,0.82294,0.89288,0.50814,1.53252,0.9208,1.84929,5.96e-05,5.96e-05,5.96e-05
100,3501.25,1.0098,0.60532,1.38812,0.90683,0.82368,0.89032,0.50871,1.53001,0.91997,1.84733,3.98e-05,3.98e-05,3.98e-05
